doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
shopee-chinh-sach-tra-hang-nguoi-ban,data/return-refund-policy/shopee-chinh-sach-tra-hang-nguoi-ban.md,Chính sách Trả hàng và Hoàn tiền — Người Bán,https://help.shopee.vn/portal/4/article/77251-CH%C3%8DNH-S%C3%81CH-TR%E1%BA%A2-H%C3%80NG-V%C3%80-HO%C3%80N-TI%E1%BB%80N,2026-09-20,2026-03-11,public-source
shopee-chinh-sach-tra-hang-nguoi-mua,data/return-refund-policy/shopee-chinh-sach-tra-hang-nguoi-mua.md,Chính sách Trả hàng và Hoàn tiền — Người Mua,https://help.shopee.vn/portal/4/article/77251-CH%C3%8DNH-S%C3%81CH-TR%E1%BA%A2-H%C3%80NG-V%C3%80-HO%C3%80N-TI%E1%BB%80N,2026-09-20,2026-03-11,public-source
shopee-huong-dan-chuan-bi-bang-chung,data/return-refund-policy/shopee-huong-dan-chuan-bi-bang-chung.md,Hướng dẫn chuẩn bị bằng chứng khi yêu cầu Trả hàng/Hoàn tiền,https://help.shopee.vn/portal/4/article/79467,2026-09-20,v1,public-source
shopee-huong-dan-gui-yeu-cau-tra-hang,data/return-refund-policy/shopee-huong-dan-gui-yeu-cau-tra-hang.md,Hướng dẫn gửi yêu cầu Trả hàng/Hoàn tiền,https://help.shopee.vn/portal/4/article/79233,2026-09-20,v1,public-source
shopee-phuong-thuc-va-phi-tra-hang,data/return-refund-policy/shopee-phuong-thuc-va-phi-tra-hang.md,Các phương thức gửi hàng hoàn trả và phí hoàn trả,https://help.shopee.vn/portal/4/article/189477,2026-09-20,v1,public-source
shopee-quy-dinh-chung-tra-hang-hoan-tien,data/return-refund-policy/shopee-quy-dinh-chung-tra-hang-hoan-tien.md,Những quy định chung về Trả hàng/Hoàn tiền của Shopee,https://help.shopee.vn/portal/4/article/188931,2026-09-20,v1,public-source
shopee-quy-trinh-xu-ly-tra-hang,data/return-refund-policy/shopee-quy-trinh-xu-ly-tra-hang.md,Quy trình Shopee xử lý yêu cầu Trả hàng/Hoàn tiền,https://help.shopee.vn/portal/4/article/190242,2026-09-20,v1,public-source
shopee-san-pham-han-che-tra-hang,data/return-refund-policy/shopee-san-pham-han-che-tra-hang.md,Sản phẩm hạn chế trả hàng là gì?,https://help.shopee.vn/portal/4/article/79465,2026-09-20,v1,public-source
shopee-thoi-gian-va-cach-kiem-tra-tien-hoan,data/return-refund-policy/shopee-thoi-gian-va-cach-kiem-tra-tien-hoan.md,Thời gian nhận tiền hoàn và cách kiểm tra tiền hoàn,https://help.shopee.vn/portal/4/article/189473,2026-09-20,v1,public-source
shopee-tra-hang-doi-y,data/return-refund-policy/shopee-tra-hang-doi-y.md,Những điều cần biết về Trả hàng do Đổi ý hoặc không còn nhu cầu,https://help.shopee.vn/portal/4/article/204305,2026-09-20,v1,public-source
